Unnamed: 0,"Indicator name: Completion rate,  primary",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,Total,Gender,,Residence,,Wealth quintile,,,,,,,,,,,,
ISO_Code,Country,Region,Sub-region,Least developed countries (LDC),Africa sub-regions,Africa region,Total,Male,Female,Urban,Rural,Poorest,Second,Middle,Fourth,Richest,Source," Total Population, one year before primary ",,,,,,
KOR,Republic of Korea,EAP,,,,,,,,,,,,,,,," 2,739,561 ",1414457.0,1325104.0,2230386.19254,509174.80746,81.414,18.586
MDA,Republic of Moldova,ECA,EECA,,,, 99 , 99 , 100 , 99 , 99 , 97 , 99 , 99 , 100 , 100 , MICS 2012 ," 152,695 ",78905.0,73790.0,65428.28055,87266.71945,42.849,57.151
ROU,Romania,ECA,EECA,,,,,,,,,,,,,,," 1,040,167 ",534221.0,505946.0,563708.10398,476458.89602,54.194,45.806
RUS,Russian Federation,ECA,EECA,,,,,,,,,,,,,,," 6,443,358 ",3297066.0,3146292.0,4816667.83932,1626690.16068,74.754,25.246
RWA,Rwanda,SSA,ESA,LDC,Eastern Africa,All, 54 , 48 , 61 , 68 , 51 , 33 , 47 , 55 , 60 , 67 , DHS 2014-15 ," 1,943,135 ",969174.0,973961.0,338727.2932,1604407.7068,17.432,82.568
KNA,Saint Kitts and Nevis,LAC,,,,,,,,,,,,,,,,,,,,,30.843,69.157
LCA,Saint Lucia,LAC,,,,, 99 , 99 , 99 , 100 , 99 , 98 , 98 , 100 , 100 , 100 , MICS 2012 ,,,,,,18.841,81.159
VCT,Saint Vincent and the Grenadines,LAC,,,,,,,,,,,,,,,," 12,542 ",6336.0,6206.0,6651.27344,5890.72656,53.032,46.968
WSM,Samoa,EAP,,,,,,,,,,,,,,,," 30,009 ",15593.0,14416.0,5368.31001,24640.68999,17.889,82.111
SMR,San Marino,ECA,WE,,,,,,,,,,,,,,," 1,760 ",904.0,856.0,1715.9824,44.0176000000001,97.499,2.501
STP,Sao Tome and Principe,SSA,WCA,LDC,Central Africa,All, 83 , 79 , 86 , 85 , 77 , 72 , 71 , 79 , 89 , 95 , MICS 2014 ," 34,236 ",17236.0,17000.0,25455.83544,8780.16456,74.354,25.646
SAU,Saudi Arabia,MENA,,,,,,,,,,,,,,,," 3,263,553 ",1657674.0,1605879.0,2750750.91711,512802.08289,84.287,15.713
SEN,Senegal,,,,Western Africa,All, 49 , 48 , 51 , 65 , 37 , 27 , 40 , 49 , 55 , 75 , DHS 2017 ," 2,612,259 ",1321807.0,1290452.0,1257071.27598,1355187.72402,48.122,51.878
SRB,Serbia,ECA,EECA,,,, 99 , 99 , 100 , 100 , 99 , 96 , 100 , 100 , 100 , 100 , MICS 2014 ," 268,113 ",138216.0,129897.0,151339.06398,116773.93602,56.446,43.554
SYC,Seychelles,SSA,ESA,,Eastern Africa,All,,,,,,,,,,,," 8,525 ",4308.0,4217.0,4905.7965,3619.2035,57.546,42.454
SLE,Sierra Leone,,,,Western Africa,All, 64 , 63 , 65 , 83 , 45 , 33 , 40 , 62 , 82 , 87 , MICS 2017 ," 1,249,931 ",623717.0,626214.0,536507.88313,713423.11687,42.923,57.077
SGP,Singapore,EAP,,,,,,,,,,,,,,,," 235,125 ",119951.0,115174.0,235125.0,0.0,100.0,0.0
SVK,Slovakia,ECA,WE,,,,,,,,,,,,,,," 230,520 ",118004.0,112516.0,123927.552,106592.448,53.76,46.24
SVN,Slovenia,ECA,WE,,,,,,,,,,,,,,," 127,104 ",65373.0,61731.0,70057.18272,57046.81728,55.118,44.882
SLB,Solomon Islands,EAP,,LDC,,,,,,,,,,,,,," 95,888 ",49486.0,46402.0,23655.5696,72232.4304,24.67,75.33
SOM,Somalia,SSA,ESA,LDC,Eastern Africa,All,,,,,,,,,,,," 2,578,378 ",1296259.0,1282119.0,1189689.39298,1388688.60702,46.141,53.859
ZAF,South Africa,,,,Southern Africa,All, 96 , 95 , 98 , 97 , 95 , 91 , 97 , 97 , 99 , 99 , DHS 2016 ," 7,530,119 ",3793428.0,3736691.0,5071836.35126,2458282.64874,67.354,32.646
SSD,South Sudan,SSA,ESA,LDC,Eastern Africa,All, 24 , 30 , 18 , 38 , 18 , 7 , 9 , 17 , 29 , 44 , MICS 2010 ," 2,056,501 ",1041379.0,1015122.0,415392.63699,1641108.36301,20.199,79.801
ESP,Spain,ECA,WE,,,,,,,,,,,,,,," 2,928,976 ",1507023.0,1421953.0,2366905.5056,562070.4944,80.81,19.19
LKA,Sri Lanka,SA,,,,,,,,,,,,,,,," 1,682,221 ",849484.0,832737.0,314794.01573,1367426.98427,18.713,81.287
PSE,State of Palestine,MENA,,,,, 99 , 99 , 100 , 99 , 99 , 99 , 99 , 99 , 100 , 99 , MICS 2014 ," 512,906 ",261960.0,250946.0,393496.35414,119409.64586,76.719,23.281
SDN,Sudan,SSA,ESA,LDC,Eastern Africa,All, 72 , 71 , 73 , 88 , 64 , 49 , 59 , 65 , 86 , 97 , MICS 2014 ," 6,434,078 ",3267898.0,3166180.0,2268205.51734,4165872.48266,35.253,64.747
SUR,Suriname,LAC,,,,, 79 , 76 , 82 , 86 , 65 , 47 , 75 , 87 , 92 , 95 , MICS 2010 ," 59,284 ",30680.0,28604.0,39215.77316,20068.22684,66.149,33.851
SWZ,Eswatini,SSA,ESA,,Southern Africa,All, 60 , 52 , 68 , 79 , 55 , 41 , 51 , 61 , 72 , 84 , MICS 2014 ," 234,807 ",117848.0,116959.0,56755.19997,178051.80003,24.171,75.829
SWE,Sweden,ECA,WE,,,,,,,,,,,,,,," 694,581 ",356958.0,337623.0,611071.52637,83509.47363,87.977,12.023
CHE,Switzerland,ECA,WE,,,,,,,,,,,,,,," 488,834 ",250689.0,238145.0,361321.6511,127512.3489,73.915,26.085
SYR,Syrian Arab Republic,MENA,,,,,,,,,,,,,,,," 2,843,192 ",1457487.0,1385705.0,1577260.762,1265931.238,55.475,44.525
TJK,Tajikistan,,,,,, 98 , 99 , 98 , 97 , 99 , 98 , 99 , 99 , 100 , 96 , DHS 2017 ," 810,431 ",416258.0,394173.0,222917.15086,587513.84914,27.506,72.494
THA,Thailand,,,,,, 98 , 98 , 98 , 97 , 98 , 99 , 95 , 99 , 100 , 98 , MICS 2015-16 ," 4,913,411 ",2527616.0,2385795.0,2526967.2773,2386443.7227,51.43,48.57
MKD,North Macedonia,ECA,EECA,,,, 100 , 100 , 99 , 100 , 99 , 98 , 100 , 100 , 100 , 100 , MICS 2011 ," 111,844 ",57326.0,54518.0,65408.60808,46435.39192,58.482,41.518
TLS,Timor-Leste,,,,,, 81 , 77 , 85 , 92 , 76 , 60 , 71 , 78 , 90 , 96 , DHS 2016 ," 221,543 ",113002.0,108541.0,69387.2676,152155.7324,31.32,68.68
TGO,Togo,SSA,WCA,LDC,Western Africa,All, 63 , 66 , 59 , 78 , 53 , 42 , 47 , 69 , 73 , 84 , DHS 2013-14 ," 1,265,751 ",634616.0,631135.0,541741.428,724009.572,42.8,57.2
TKL,Tokelau,EAP,,,,,,,,,,,,,,,, 162 ,85.0,77.0,0.0,162.0,0.0,100.0
TON,Tonga,EAP,,,,,,,,,,,,,,,," 15,765 ",8113.0,7652.0,3641.55735,12123.44265,23.099,76.901
TTO,Trinidad and Tobago,LAC,,,,,,,,,,,,,,,," 135,283 ",68571.0,66712.0,71989.49562,63293.50438,53.214,46.786
TUN,Tunisia,,,,Northern Africa,All, 95 , 94 , 97 , 97 , 91 , 88 , 94 , 98 , 97 , 99 , MICS 2018 ," 1,044,758 ",534027.0,510731.0,726817.24544,317940.75456,69.568,30.432
TUR,Turkey,ECA,EECA,,,, 99 , 99 , 98 , 99 , 97 , 96 , 98 , 99 , 100 , 100 , DHS style 2013 ," 5,360,775 ",2737543.0,2623232.0,4079817.81375,1280957.18625,76.105,23.895
TKM,Turkmenistan,ECA,EECA,,,, 100 , 100 , 100 , 100 , 100 , 100 , 100 , 99 , 100 , 100 , MICS 2015-16 ," 445,005 ",225411.0,219594.0,233698.8258,211306.1742,52.516,47.484
TCA,Turks and Caicos Islands,LAC,,,,,,,,,,,,,,,,,,,,,93.605,6.395
TUV,Tuvalu,EAP,,LDC,,,,,,,,,,,,,," 1,237 ",646.0,591.0,791.85318,445.14682,64.014,35.986
UGA,Uganda,SSA,ESA,LDC,Eastern Africa,All, 34 , 33 , 36 , 57 , 29 , 13 , 19 , 32 , 44 , 65 , DHS 2016 ," 9,180,010 ",4625445.0,4554565.0,2290779.6954,6889230.3046,24.954,75.046
UKR,Ukraine,ECA,EECA,,,, 100 , 100 , 99 , 100 , 99 , 100 , 98 , 100 , 100 , 100 , MICS 2012 ," 1,687,097 ",868641.0,818456.0,1174354.47976,512742.52024,69.608,30.392
ARE,United Arab Emirates,MENA,,,,,,,,,,,,,,,," 453,654 ",231861.0,221793.0,394896.73392,58757.26608,87.048,12.952
GBR,United Kingdom,ECA,WE,,,,,,,,,,,,,,," 4,824,444 ",2467613.0,2356831.0,4047853.24932,776590.75068,83.903,16.097
TZA,United Republic of Tanzania,SSA,ESA,LDC,Eastern Africa,All, 80 , 75 , 84 , 89 , 74 , 61 , 68 , 78 , 86 , 94 , DHS 2015-16 ," 11,263,873 ",5671070.0,5592803.0,3967924.54171,7295948.45829,35.227,64.773
USA,United States,,,,,,,,,,,,,,,,," 24,682,662 ",12598457.0,12084205.0,20403675.71568,4278986.28432,82.664,17.336
URY,Uruguay,LAC,,,,, 94 , 92 , 95 , 94 , 94 , 84 , 96 , 96 , 95 , 100 , MICS 2012-13 ," 291,184 ",148862.0,142322.0,278124.3976,13059.6024,95.515,4.485
